Composite Ticker,Composite Name,RIC,Bloomberg Symbol,FutVal,Exchange,52 Week Price Range,AveVol,NAV Date,NAV,AUM,Market Cap,Leverage,Inception Date,Expense Ratio,MorningStar Category,ETF Type,Total Holdings,YTD Return,1 month Return,1 Year Return,3 Year Return,Percent Above Constituent's 200 Day Moving Average,Advances,Declines,Advancing Volume,Declining Volume,New 1 Year Highs,New 1 Year Lows,FutVal,FutVal,FutVal,FutVal,FutVal,CUSIP,ISIN,Description
MINC,AdvisorShares Newfleet Multi-Sector Income ETF,MINC.K,MINC:US,,NYSEArca,45.78 - 46.10,7479,04/14/2020,46.8759568, ,58250000,1,2013-03-19,0.76,,Fixed Income ETF,289,,,,,na,na,na,na,na,na,na,,,,,,00768Y727,B9MSV67,The investment seeks to provide current income consistent with preservation of capital  while limiting fluctuations in net asset value ('NAV') due to changes in interest rates.  The Sub-Advisor applies a time-tested approach and extensive credit research to capitalize on opportunities across undervalued areas of the bond markets. The fund principally invests in investment-grade securities  which are securities with credit ratings within the four highest rating categories of a nationally recognized statistical rating organization or  if unrated  those securities that the Sub-Advisor determines to be of comparable quality.
YOLO,AdvisorShares Pure Cannabis ETF,YOLO.K,YOLO:US,,NYSEArca,7.65 - 7.84,62169,04/14/2020,7.9179946, ,32951000, ,2019-04-17,0.74,,US Equity ETF,37,,,,,na,na,na,na,na,na,na,,,,,,00768Y495,BJCZ6D0,
HOLD,AdvisorShares Sage Core Reserves ETF,HOLD.K,HOLD:US,,NYSEArca,96.38 - 96.57,2327,04/14/2020,97.2070442, ,94521375,1,2014-01-14,0.35,,US Fixed Income ETF,80,,,,,na,na,na,na,na,na,na,,,,,,00768Y651,BJ316W6,The investment seeks to preserve capital while maximizing income.  Sage Advisory Services  Ltd. Co. (the 'Sub-Advisor') seeks to achieve the fund's investment objective by investing in a variety of fixed income securities  including bonds  forwards and insuments issued by U.S. and foreign issuers. It will invest in U.S. dollar-denominated investment grade debt securities  including mortgage- or asset-backed securities  rated Baa- or higher by Moody's Investors Service  Inc. ('Moody's')  or equivalently rated by Standard &amp; Poor's Ratings Services ('S&amp;P') or Fitch  Inc. ('Fitch')  or  if unrated  determined by the Sub-Advisor to be of comparable quality.
VEGA,AdvisorShares STAR Global Buy-Write ETF,VEGA.K,VEGA:US,,NYSEArca,29.76 - 30.14,4135,04/14/2020,30.0683242,12027328,12022000,1,2012-09-17,2.04,,US Fund of Funds ETF,13,,,,,na,na,na,na,na,na,na,,,,,,00768Y768,B84X3T0,The investment seeks consistent repeatable returns across all market cycles.  The fund is an actively managed exchange-aded fund ('ETF') that is primarily a 'fund of funds'. It invests in ETFs and exchange-aded notes ('ETNs') that seek to track a diversified basket of global indices and investment sectors that meet certain selection criteria established by Partnervest Advisory Services  LLC (the 'Sub-Advisor'). It also may invest  subject to the same selection criteria  in exchange-aded products that invest directly in commodities or currencies and that are registered only pursuant to the Securities Act of 1933 (collectively with ETFs and ETNs  'ETPs').
ACT,AdvisorShares Vice ETF,ACT.O,ACT:US,,NasdaqGS,20.17 - 20.59,4277,04/14/2020,20.2901084, ,9186750,1,2017-12-11,0.99,,US Equity ETF, 32,,,,, 0, 1310720, 327680, 3.3376107877608E-308, 3.23790861658519E-319, 65536, 0,,,,,,00768Y545,BF5GS81,The investment seeks long-term capital appreciation.  The fund is an actively-managed exchange-aded fund that invests at least 80% of its net assets (plus any borrowings for investment purposes) in securities of companies that derive at least 50% of their net revenue from tobacco and alcoholic beverages and companies that derive at least 50% of their net revenue from the marijuana and hemp indusy or have at least 50% of their company assets dedicated to lawful research and development of cannabis or cannabinoid-related products. It will invest primarily in U.S. exchange listed equity securities  including common and preferred stock and ADRs.
AADR,AdvisorShares WCM/BNY Mellon Focused Growth ADR ETF,AADR.K,AADR:US,,NYSEArca,42.96 - 43.56,22361,04/14/2020,43.729596,68874120,68740875,1,2010-07-20,1.10,,US Equity ETF,36,,,,,na,na,na,na,na,na,na,,,,,,00768Y206,B415VC0,The investment seeks long-term capital appreciation above international benchmarks such as the BNY Mellon Classic ADR Index  the fund's primary benchmark  and the MSCI EAFE Index  the fund's secondary benchmark.  The fund seeks to achieve the fund's investment objective by selecting primarily a portfolio of U.S.-aded securities of non-U.S. organizations  most often American Depositary Receipts ('ADRs'). It will invest at least 80% of its total assets in ADRs and in securities that have economic characteristics similar to ADRs.
USHG,AGFiQ Dynamic Hedged U.S. Equity ETF **, ,USHG:US,,NYSEArca,25.60 - 25.60,122,04/14/2020, , , , ,2019-05-22,0.87,,US Equity ETF,11,,,,,na,na,na,na,na,na,na,,,,,,, ,
GLIF,AGFiQ Global Infrastructure ETF **,GLIF.K,GLIF:US,,NYSEArca,22.58 - 23.21,340,04/14/2020,22.6932, ,2269292.693, ,2019-05-22,0.45,,Global Equity ETF,76,,,,,na,na,na,na,na,na,na,,,,,,00110G606,BKBHFM6,
DIVA,AGFiQ Hedged Dividend Income ETF,DIVA.K,DIVA:US,,NYSEArca,20.50 - 20.88,3425,04/14/2020,20.4764, ,3060300,1,2015-01-14,1.10,,US Equity ETF,286,,,,,na,na,na,na,na,na,na,,,,,,00110G887,BKBHFL5,The investment seeks performance results that correspond to the price and yield performance  before fees and expenses  of the Indxx Hedged Dividend Income Index.  The fund seeks to track the performance of the Indxx Hedged Dividend Income Index by investing at least 80% of its net assets (plus any borrowing for investment purposes) in common stock of the long positions in the underlying index and sells short at least 80% of the short positions in the underlying index. The index is a long/short index in which the long positions  in the aggregate  have approximately twice the weight as the short positions  in the aggregate.
BTAL,AGFiQ U.S. Market Neutral Anti-Beta Fund ETF,BTAL.K,BTAL:US,,NYSEArca,24.78 - 25.59,254761,04/14/2020,25.3732, ,122400000,1,2011-09-13,2.11,,US Equity ETF,400,,,,,na,na,na,na,na,na,na,,,,,,00110G408,BKBHFJ3,The investment seeks performance results that correspond to the price and yield performance  before fees and expenses  of the Dow Jones U.S. Thematic Market Neual Anti-Beta Index.  The fund invests at least 80% of its net assets in common stock of the long positions in the underlying index and sells short at least 80% of the short positions in the underlying index. The underlying index is a long/short market neual index that is dollar-neual. As such  it identifies long and short securities positions of approximately equal dollar amounts.
MOM,AGFiQ U.S. Market Neutral Momentum Fund ETF,MOM,MOM:US,,NYSEArca,28.30 - 29.54,8832,04/14/2020,28.3161, ,2863000,1,2011-09-07,2.62,,US Equity ETF,400,,,,,na,na,na,na,na,na,na,,,,,,00110G101,BKBHFN7,The investment seeks performance results that correspond to the price and yield performance  before fees and expenses  of the Dow Jones U.S. Thematic Market Neual Momentum Index.  The fund invests at least 80% of its net assets in common stock of the long positions in the underlying index and sell short at least 80% of the short positions in the underlying index. The index is a long/short market neual index that is dollar-neual. As such  it identifies long and short securities positions of approximately equal dollar amounts. In choosing to track a market neual index  the fund seeks to limit the effects of general market movements on the fund.
CHEP,AGFiQ U.S. Market Neutral Value Fund *,CHEP.K,CHEP:US,,NYSEArca,16.29 - 16.29,1769,04/14/2020,16.2579, ,813250,1,2011-09-13,1.91,,US Equity ETF,400,,,,,na,na,na,na,na,na,na,,,,,,00110G200,BKBHFK4,The investment seeks performance results that correspond to the price and yield performance  before fees and expenses  of the Dow Jones U.S. Thematic Market Neual Value Index.  The fund invests at least 80% of its net assets in common stock of the long positions in the underlying index and sells short at least 80% of the short positions in the underlying index. The index is a long/short market neual index that is dollar-neual. As such  it identifies long and short securities positions of approximately equal dollar amounts. In choosing to track a market neual index  the fund seeks to limit the effects of general market movements on the fund.
ENFR,Alerian Energy Infrastructure ETF,ENFR.K,ENFR:US,,NYSEArca,11.29 - 11.90,53498,04/14/2020,11.68, ,27565500,1,2013-10-31,0.65,,Global Equity ETF,998,,,,,na,na,na,na,na,na,na,,,,,,00162Q676,BFR9W31,The investment seeks investment results that correspond (before fees and expenses) generally to the price and yield performance of its underlying index  the Alerian Midseam Energy Select Index.  The underlying index is a composite of North American energy infrasucture companies engaged in the pipeline ansportation  storage  and processing of energy commodities. The fund will normally invest at least 90% of its total assets in securities that comprise the underlying index. It is non-diversified.
AMLP,Alerian MLP ETF,AMLP.K,AMLP:US,,NYSEArca,3.7400 - 4.1700,40434009,04/14/2020,3.98,3484659338,3538865158,1,2010-08-25,0.87,,US Equity ETF,998,,,,,na,na,na,na,na,na,na,,,,,,00162Q866,B53D5F0,The investment seeks investment results that correspond (before fees and expenses) generally to the price and yield performance of its underlying index  the Alerian MLP Infrasucture Index.  The fund will normally invest at least 90% of its total assets in securities that comprise the underlying index. The underlying index is comprised of energy infrasucture MLPs that earn a majority of their cash flow from the ansportation  storage and processing of energy commodities. It is non-diversified.
VMOT,Alpha Architect ETF TR U.S. Quantitative ETF,VMOT.K,VMOT:US,,BATS,20.81 - 21.05,26603,04/14/2020,20.7949, ,53950000,1,2017-05-02,2.48,,US Equity ETF,7,,,,,na,na,na,na,na,na,na,,,,,,02072L508,BF2YLW3,The investment seeks to track the total return performance  before fees and expenses  of the Alpha Architect Value Momentum Trend Index.  Under normal circumstances  at least 80% of the fund's total assets (exclusive of collateral held from securities lending) will be invested in the component securities of the index and other insuments of the index. The index will be composed primarily of the other ETFs advised by the Adviser. Currently  there are four Alpha Architect ETFs  which invest in either domestic or international equity securities  and employ either a 'momentum' or a 'value' investment sategy. The fund is non-diversified.
FRDM,Alpha Architect Freedom 100 Em Mkts ETF,FRDM.K,FRDM:US,,BATS,20.34 - 20.71,8385,04/14/2020,20.439, , , ,2019-05-22,0.49,,Global Equity ETF,101,,,,,na,na,na,na,na,na,na,,,,,,02072L607,BJ02B83,
WIZ,Alpha Architect Merlyn.AI Bl-Rdr B-F ETF,WIZ.N,WIZ:US,,NYSEArca,24.25 - 24.76,51980,04/14/2020, , ,28889040, ,2019-10-16,0.95,,Fund of Funds ETF,10,,,,,na,na,na,na,na,na,na,,,,,,02072L706,BJM01P2,
IMOM,Alpha Architect MomentumShares International Quantitative Momentum ETF,IMOM.K,IMOM:US,,BATS,21.86 - 22.16,49324,04/14/2020,21.9165, ,49095000,1,2015-12-22,0.59,,US Equity ETF,46,,,,,na,na,na,na,na,na,na,,,,,,02072L300,BDFG6Y9,The investment seeks to track the total return performance  before fees and expenses  of the Alpha Architect International Quantitative Momentum Index.  The fund will normally invest at least 80% of its total assets in the component securities of the index and investments that have economic characteristics that are substantially identical to the economic characteristics of such component securities (e.g.  depositary receipts). The index uses a 5-step  quantitative  rules-based methodology to identify a portfolio of approximately 40-50 non-U.S. equity securities with positive momentum. The fund is non-diversified.
QMOM,Alpha Architect MomentumShares U.S. Quantitative Momentum ETF,QMOM.K,QMOM:US,,BATS,27.83 - 28.42,24227,04/14/2020,27.421, ,67192965,1,2015-12-01,0.49,,US Equity ETF,52,,,,,na,na,na,na,na,na,na,,,,,,02072L409,BDGN542,The investment seeks to track the total return performance  before fees and expenses  of the Alpha Architect Quantitative Momentum Index.  The fund will normally invest at least 80% of its total assets in the component securities of the index. The fund may also invest up to 20% of its assets in cash and cash equivalents  other investment companies  as well as securities and other insuments not included in the index but which the Adviser believes will help the fund track the index. The index uses a 5-step  quantitative  rules-based methodology to identify a portfolio of approximately 40-50 U.S. equity securities with positive momentum. It is non-diversified.
IVAL,Alpha Architect ValueShares International Quantitative Value ETF,IVAL.K,IVAL:US,,BATS,21.88 - 22.22,45609,04/14/2020,21.9368, ,69936000,1,2014-12-16,0.59,,Global Equity ETF,46,,,,,na,na,na,na,na,na,na,,,,,,02072L201,BTGQKH1,The investment seeks to track the total return performance  before fees and expenses  of the Alpha Architect International Quantitative Value Index.  The fund normally will invest at least 80% of its total assets in the component securities of the index and investments that have economic characteristics that are substantially identical to the economic characteristics of such component securities. The index uses a 5-step  quantitative  rules-based methodology to identify a portfolio of approximately 40-50 undervalued non-U.S. equity securities or their depositary receipts with the potential for capital appreciation.
QVAL,Alpha Architect ValueShares U.S. Quantitative Value ETF,QVAL.K,QVAL:US,,BATS,19.84 - 20.50,50401,04/14/2020,19.4176,68932480,66062000,1,2014-10-22,0.49,,Global Equity ETF,41,,,,,na,na,na,na,na,na,na,,,,,,02072L102,BRS6116,The investment seeks to track the total return performance  before fees and expenses  of the Alpha Architect Quantitative Value Index.  The fund will normally invest at least 80% of its total assets in the component securities of the index. It may also invest up to 20% of its assets in cash and cash equivalents  other investment companies  as well as securities and other insuments not included in the index but which the Adviser believes will help the fund track the index. The index uses a 5-step  quantitative  rules-based methodology to identify a portfolio of approximately 40-50 undervalued U.S. equity securities with the potential for capital appreciation.
ALFA,AlphaClone Alternative Alpha ETF,ALFA.K,ALFA:US,,BATS,48.51 - 49.31,5208,04/14/2020,48.5191, ,19336760,1,2012-05-31,0.65,,US Equity ETF,na,,,,,na,na,na,na,na,na,na,,,,,,26922A305,B8FGV16,The investment seeks to track the price and yield  before fees and expenses  of the AlphaClone Hedge Fund Masters Index.  The fund uses a 'passive management' approach to track the performance  before fees and expenses  of the index. The index utilizes a proprietary  quantitative Clone Score methodology developed by AlphaClone  Inc.  the fund's index provider  to replicate the U.S. equity securities favored as investments by hedge funds and institutional investors. At least 80% of the fund's total assets (exclusive of any collateral held from securities lending) will be invested in the component securities of the index.
SMCP,AlphaMark Actively Managed Small Cap ETF,SMCP.O,SMCP:US,,NasdaqGS,17.36 - 17.56,790,04/14/2020,18.3702, ,15670350,1,2015-04-20,1.22,,US Fund of Funds ETF,3,,,,,na,na,na,na,na,na,na,,,,,,26922A834,BWY54W4,The investment seeks long-term growth of capital.  Under normal circumstances  the fund will invest at least 80% of its net assets (plus any borrowings for investment purposes) in equity securities of small cap companies listed on a U.S. exchange. The adviser defines 'equity securities' to include common and preferred stock  American Depositary Receipts ('ADRs')  real estate investment usts ('REITs')  and exchange-aded funds ('ETFs'). The fund may invest up to 30% of its net assets in foreign equity securities of small cap companies aded on a U.S. exchange as ADRs  which may include companies in emerging markets.
ACES,ALPS Clean Energy ETF, ,ACES:US,,BATS,30.81 - 31.97,62866,04/14/2020, , , , ,2018-06-27,0.65,,Global Equity ETF,998,,,,,na,na,na,na,na,na,na,,,,,,, ,
DTEC,ALPS Disruptive Technologies ETF,DTEC.K,DTEC:US,,BATS,27.86 - 28.28,24827,04/14/2020, , ,73376965.38,1,2017-12-28,0.50,,Global Equity ETF,998,,,,,na,na,na,na,na,na,na,,,,,,00162Q478,BDRHD49,The investment seeks investment results that correspond (before fees and expenses) generally to the performance of the Indxx Disruptive Technologies Index (the 'underlying index').  The fund will invest at least 80% of its net assets in securities that comprise the underlying index. The underlying index is designed to identify the companies using disruptive technologies in each of ten thematic areas: Healthcare Innovation  Internet of Things  Clean Energy and Smart Grid  Cloud Computing  Data and Analytics  FinTech  Robotics and Artificial Intelligence  Cybersecurity  3D Printing  and Mobile Payments. The fund is non-diversified.
EDOG,ALPS Emerging Sector Dividend Dogs ETF,EDOG.K,EDOG:US,,NYSEArca,15.86 - 16.14,14891,04/14/2020,16.28,19535393,19254000,1,2014-03-27,0.60,,Global Equity ETF,998,,,,,na,na,na,na,na,na,na,,,,,,00162Q668,BL0RV71,The investment seeks investment results that replicate as closely as possible  before fees and expenses  the performance of the S-Network   Emerging Sector Dividend Dogs Index (the 'index').  The index is a rules-based index intended to give investors a means of acking the overall performance of the highest dividend paying stocks (i.e. 'Dividend Dogs') in the S-Network   Emerging Markets Index  a universe of mainly large capitalization stocks domiciled in emerging markets (the 'S-Network Emerging Markets') on a sector-by-sector basis.
EQL,ALPS Equal Sector Weight ETF,EQL,EQL:US,,NYSEArca,66.96 - 67.99,10159,04/14/2020,66.28,132563070,132592800,1,2009-07-06,0.28,,US Fund of Funds ETF,998,,,,,na,na,na,na,na,na,na,,,,,,00162Q205,B3P8JJ1,The investment seeks investment results that replicate as closely as possible  before fees and expenses  the performance of the NYSE Select Sector Equal Weight Index (the 'underlying index').  In order to track the underlying index  the fund will use a 'fund of funds' approach  and seek to achieve its investment objective by investing at least 90% of its total assets in the shares of the Underlying Sector ETFs. The underlying index is an index of ETFs comprised of all active Select Sector SPDR   ETFs in an equal weighted portfolio. It is non-diversified.
IDOG,ALPS International Sector Dividend Dogs ETF,IDOG.K,IDOG:US,,NYSEArca,20.48 - 20.70,64846,04/14/2020,20.64,149622027,148552500,1,2013-06-27,0.50,,Global Equity ETF,998,,,,,na,na,na,na,na,na,na,,,,,,00162Q718,BBTPP85,The investment seeks investment results that replicate as closely as possible  before fees and expenses  the performance of the S-Network   International Sector Dividend Dogs Index.  The fund seeks investment results that replicate as closely as possible  before fees and expenses  the performance of the underlying index. The underlying index is a rules-based index intended to give investors a means of acking the overall performance of the highest dividend paying stocks (i.e. 'Dividend Dogs') in the S-Network Developed International 1000 Index.
SBIO,ALPS Medical Breakthroughs ETF,SBIO.K,SBIO:US,,NYSEArca,33.82 - 34.73,78569,04/14/2020,34.58,162535499,162197000,1,2014-12-30,0.50,,US Equity ETF, 998,,,,, 0, 0, 0, 0, 0, 0, 0,,,,,,00162Q593,BTZJ6F1,The investment seeks investment results that correspond (before fees and expenses) generally to the performance of its underlying index  the Poliwogg Medical Breakthroughs IndexSM.  The fund employs a 'passive management' - or indexing - investment approach designed to track the performance of the underlying index. It will normally invest at least 80% of its net assets in securities that comprise the underlying index. The underlying index is comprised of small- and mid-cap stocks of biotechnology and pharmaceutical companies that have one or more drugs in either Phase II or Phase III U.S. Food and Drug Adminisation clinical ials. It is non-diversified.
RDOG,ALPS REIT Dividend Dogs ETF, ,RDOG:US,,NYSEArca,34.12 - 35.72,5258,04/14/2020, , , , ,2008-05-07,0.35,,US Equity ETF,998,,,,,na,na,na,na,na,na,na,,,,,,, ,
SDOG,ALPS Sector Dividend Dogs ETF,SDOG.K,SDOG:US,,NYSEArca,34.48 - 35.94,249170,04/14/2020,34.27,1076527641,1077160988,1,2012-06-29,0.40,,US Equity ETF,998,,,,,na,na,na,na,na,na,na,,,,,,00162Q858,B7MG059,The investment seeks investment results that replicate as closely as possible  before fees and expenses  the performance of the S-Network   Sector Dividend Dogs Index.  The underlying index generally consists of 50 stocks on each annual reconstitution date  which is the third Friday of December each year. The underlying index's stocks must be constituents of the S&amp;P 500 Index  the leading benchmark index for U.S. large capitalization stocks. The underlying index methodology selects the five stocks in each of the ten GICS sectors that make up the S&amp;P 500 which offer the highest dividend yields as of the last business day of November.
ACSI,American Customer Satisfaction Core Alpha ETF,ACSI.K,ACSI:US,,BATS,30.15 - 30.15,4185,04/14/2020,29.7774, ,52133900,1,2016-10-31,0.66,,US Equity ETF,97,,,,,na,na,na,na,na,na,na,,,,,,26922A776,BYP2J78,The investment seeks to track the performance of the American Customer Satisfaction Investable Index.  Under normal circumstances  at least 80% of the fund's total assets will be invested in the component securities of the index. Consuction of the index begins with over 350 ACSI Companies across 43 indusies and 10 economic sectors. The initial universe is then screened to eliminate companies whose stock is not principally listed on a U.S. exchange  whose stock does not meet minimum liquidity requirements  or whose ACSI Score falls below its respective indusy average. The remaining companies are included in the index.
BATT,Amplify Advanced Battery Metals and Materials ETF,BATT.K,BATT:US,,NYSEArca,7.37 - 7.61,15666,04/14/2020,7.5046, ,3722650, ,2018-06-04,0.72,,Global Equity ETF,36,,,,,na,na,na,na,na,na,na,,,,,,32108805,BZ1NT94,
SWAN,Amplify BlackSwan Growth & Treasury Core ETF,SWAN.K,SWAN:US,,NYSEArca,29.09 - 29.51,189233,04/14/2020,29.0797, ,219403000, ,2018-11-05,0.49,,US Fixed Income ETF,9,,,,,na,na,na,na,na,na,na,,,,,,32108888,BGJQCX7,
LEND,Amplify CrowdBureau Peer-to-Peer Lending & Crowdfunding ETF,LEND.K,LEND:US,,NYSEArca,11.21 - 11.21,501,04/14/2020,11.1477, ,560400, ,2019-05-08,0.65,,US Equity ETF,35,,,,,na,na,na,na,na,na,na,,,,,,32108862,BK62TY6,
EASI,Amplify EASI Tactical Growth ETF,EASI.K,EASI:US,,NYSEArca,19.51 - 19.60,6412,04/14/2020,19.5933, ,15688000, ,2018-06-13,0.81,,US Equity ETF,5,,,,,na,na,na,na,na,na,na,,,,,,32108706,BF8RKN0,
XBUY,Amplify International Online Retail ETF,XBUY.K,XBUY:US,,NYSEArca,23.50 - 23.87,1295,04/14/2020,23.4714, ,1763040, ,2019-01-29,0.69,,Global Equity ETF,55,,,,,na,na,na,na,na,na,na,,,,,,32108870,BJJH9D0,
IBUY,Amplify Online Retail ETF,IBUY.O,IBUY:US,,NasdaqGS,45.51 - 46.84,44585,04/14/2020,46.5333, ,295910000,1,2016-04-19,0.65,,Global Equity ETF,48,,,,,na,na,na,na,na,na,na,,,,,,32108102,BDGMN01,The investment seeks investment results that generally correspond (before fees and expenses) to the price and yield of the EQM Online Retail Index.  The fund will invest at least 80% of its total assets in global equity securities that comprise the index  which will primarily include common stocks and/or depositary receipts  such as ADRs and GDRs. The index seeks to measure the performance of global equity securities of publicly aded companies with significant revenue from the online retail business. The index methodology is designed to result in a portfolio that has the potential for capital appreciation. The fund is non-diversified.
CNBS,Amplify Seymour Cannabis ETF, ,CNBS:US,,NYSEArca,8.83 - 9.07,6535,04/14/2020, , , , ,2019-07-15,0.75,,Global Equity ETF,27,,,,,na,na,na,na,na,na,na,,,,,,, ,
BLOK,Amplify Transformational Data Sharing ETF,BLOK.K,BLOK:US,,NYSEArca,16.49 - 16.73,33130,04/14/2020,16.687, ,74925000, ,2018-01-16,0.70,,Global Equity ETF,57,,,,,na,na,na,na,na,na,na,,,,,,32108607,BF2BQ52,
DIVO,Amplify YieldShares CWP Dividend & Option Income ETF,DIVO.K,DIVO:US,,NYSEArca,25.68 - 27.20,11898,04/14/2020,26.4973, ,25107740,1,2016-12-13,0.49,,US Equity ETF,40,,,,,na,na,na,na,na,na,na,,,,,,32108409,BD9N4L9,The investment seeks to provide current income as its primary investment objective and to provide capital appreciation as its secondary investment objective.  Under normal circumstances  the fund invests at least 80% of its total assets in dividend-paying U.S. exchange-aded equity securities ('Equity Securities') and will opportunistically utilize an 'option sategy' consisting of writing (selling) U.S. exchange-aded covered call options on such Equity Securities. The fund is non-diversified.
ACIO,Aptus Collared Income Opportunity ETF,ACIO.K,ACIO:US,,,,,04/14/2020,23.3359, , , ,,,,Commodity Based ETF,na,,,,,na,na,na,na,na,na,na,,,,,,26922A222,BK9TGB0,
DRSK,Aptus Defined Risk ETF,DRSK.K,DRSK:US,,BATS,28.11 - 28.79,53004,04/14/2020,28.7733, ,88267000, ,2018-08-07,0.76,,Commodity Based ETF,na,,,,,na,na,na,na,na,na,na,,,,,,26922A388,BD6H6G3,
ADME,Aptus Drawdown-Managed Equity ETF,ADME.K,ADME:US,,BATS,29.29 - 29.49,33555,04/14/2020,29.1297, ,64218000, ,2016-06-08,0.81,,US Equity ETF,49,,,,,na,na,na,na,na,na,na,,,,,,26922A784,BDBBB65,
