NUM;ETF TYPE;EXCHANGE TRADED FUNDS NAME;ISIN;PRODUCT FAMILY;XETRA SYMBOL;REUTERS CODE;BLOOMBERG TICKER;MANAGEMENT FEE IN %;ONGOING CHARGES;USE OF PROFITS;REPLICATION METHOD;FUND CURRENCY;TRADING CURRENCY;MQV;MAX SPREAD;iNAV (REUTERS);iNAV (BLOOMBERG);BENCHMARK;HOMEPAGE ISSUER
31;Active ETF;JPM EUR Corporate Bond Research Enhanced Index UCITS ETF;IE00BF59RX87;J.P. Morgan ETF;JREB;JREB.DE;JREB GY;;0,19%;Accumulating;Full Replication;EUR;EUR;50000 EUR;5,00%;JREBEUiv.P;JREBEUIV;;www.jpmorganassetmanagement.ie
32;Active ETF;JPM Global Emerging Markets Research Enhanced Index Equity (ESG) UCITS ETF;IE00BF4G6Z54;J.P. Morgan ETF;JREM;JREM.DE;JREM GY;;0,30%;Accumulating;Full Replication;USD;EUR;50000 EUR;5,00%;JREMEUiv.P;JREMEUIV;;www.jpmorganassetmanagement.ie
33;Active ETF;JPM USD Corporate Bond Research Enhanced Index UCITS ETF;IE00BF59RV63;J.P. Morgan ETF;JRUB;JRUB.DE;JRUB GY;;0,19%;Accumulating;Full Replication;USD;EUR;50000 EUR;5,00%;JRUBEUiv.P;JRUBEUIV;;www.jpmorganassetmanagement.ie
34;Active ETF;Ossiam World ESG Machine Learning UCITS ETF - 1A (EUR);IE00BF4Q4063;Ossiam;OWLE;OWLE.DE;OWLE GY;;0,65%;Accumulating;Full Replication;USD;EUR;100000 EUR;1,00%;OWLEEURINAV=SOLA;OWLEEUIV;;www.ossiam.com
35;Active ETF;Ossiam World ESG Machine Learning UCITS ETF - 1A (USD);IE00BF4Q3545;Ossiam;OWLU;OWLU.DE;OWLU GY;;0,65%;Accumulating;Full Replication;USD;USD;100000 USD;1,00%;OWLUUSDINAV=SOLA;OWLUUSIV;;www.ossiam.com
36;Active ETF;JPM USD Ultra-Short Income UCITS ETF;IE00BG8BCY43;J.P. Morgan ETF;JPPA;JPPA.DE;JPPA GY;;0,18%;Accumulating;Full Replication;USD;EUR;50000 EUR;5,00%;JPSAEUiV.P;JPSAEUIV;;www.jpmorganassetmanagement.ie
37;Active ETF;Franklin Liberty Euro Green Bond UCITS ETF;IE00BHZRR253;Franklin LibertyShares;FLRG;FLRG.DE;FLRG GY;;0,30%;Accumulating;Full Replication;EUR;EUR;50000 EUR;5,00%;0YS7INAV.DE;FLRGIVEU;;www.franklintempleton.de/
38;Active ETF;Ossiam US ESG Low Carbon Equity Factors UCITS ETF (EUR);IE00BJBLDK52;Ossiam;OUFE;OUFE.DE;OUFE GY;;0,45%;Accumulating;Full Replication;USD;EUR;100000 EUR;1,00%;OUFEEURINAV=SOLA;OUFEEUIV;;www.ossiam.com
39;Active ETF;Ossiam US ESG Low Carbon Equity Factors UCITS ETF (USD);IE00BJBLDJ48;Ossiam;OUFU;OUFU.DE;OUFU GY;;0,45%;Accumulating;Full Replication;USD;USD;100000 USD;1,00%;OUFUUSDINAV=SOLA;OUFUUSIV;;www.ossiam.com
40;Active ETF;Invesco Quantitative Strategies ESG Global Equity Multi-factor UCITS ETF - EUR PfHdg Acc;IE00BJQRDP39;Invesco;IQSE;IQSE.DE;IQSE GY;;0,60%;Accumulating;Full Replication;EUR;EUR;100000 EUR;5,00%;3O08INAV.DE;IQSEIN;;etf.invesco.com
41;Active ETF;Invesco Quantitative Strategies ESG Global Equity Multi-factor UCITS ETF Acc;IE00BJQRDN15;Invesco;IQSA;IQSA.DE;IQSA GY;;0,60%;Accumulating;Full Replication;USD;EUR;100000 EUR;5,00%;3O07INAV.DE;IQSAINE;;etf.invesco.com
42;Active ETF;JPM US Research Enhanced Index Equity (ESG) UCITS ETF - USD (dist);IE00BJ06C044;J.P. Morgan ETF;JRUD;JRUD.DE;JRUD GY;;0,20%;Distributing;Full Replication;USD;EUR;50000 EUR;5,00%;JRUDEUiV.P;JRUDEUIV;;www.jpmorganassetmanagement.ie
43;Active ETF;Ossiam US ESG Low Carbon Equity Factors UCITS - 1A (EUR Hedged);IE00BKFVBQ00;Ossiam;OUFH;OUFH.DE;OUFH GY;;0,45%;Accumulating;Full Replication;USD;EUR;100000 EUR;1,00%;OUFHEURINAV=SOLA;OUFHEUIV;;www.ossiam.com
1;ETC;WisdomTree WTI Crude Oil 2mth;DE000A0KRKN3;WisdomTree;OESB;OILW.DE;OESB GY;0,49%;;;;USD;EUR;3700 shares;1,50%;;;WTI 2mth Oil Futures;www.wisdomtree.eu/home
2;ETC;WisdomTree Brent Crude Oil 1mth;DE000A0KRKM5;WisdomTree;OESA;OESA.DE;OESA GY;0,49%;;;;USD;EUR;4500 shares;1,50%;;;ICE 1mth Brent Oil Futures;www.wisdomtree.eu/home
3;ETC;WisdomTree Aluminium;DE000A0KRJS4;WisdomTree;OD7A;ALUM.DE;OD7A GY;0,49%;;;;USD;EUR;37300 shares;5,00%;;;Bloomberg Aluminum Subindex;www.wisdomtree.eu/home
4;ETC;WisdomTree Wheat;DE000A0KRJ93;WisdomTree;OD7S;WEAT.DE;OD7S GY;0,49%;;;;USD;EUR;68400 shares;7,50%;;;Bloomberg Wheat Subindex;www.wisdomtree.eu/home
5;ETC;WisdomTree Sugar;DE000A0KRJ85;WisdomTree;OD7R;SUGA.DE;OD7R GY;0,49%;;;;USD;EUR;7700 shares;5,00%;;;Bloomberg Sugar Subindex;www.wisdomtree.eu/home
6;ETC;WisdomTree Soybeans;DE000A0KRJ77;WisdomTree;OD7Q;SOYB.DE;OD7Q GY;0,49%;;;;USD;EUR;5900 shares;7,50%;;;Bloomberg Soybeans Subindex;www.wisdomtree.eu/home
7;ETC;WisdomTree Soybean Oil;DE000A0KRJ69;WisdomTree;OD7P;SOYO.DE;OD7P GY;0,49%;;;;USD;EUR;21000 shares;7,50%;;;Bloomberg Soybean Oil Subindex;www.wisdomtree.eu/home
8;ETC;WisdomTree Broad Commodities;DE000A0KRKC6;WisdomTree;OD7V;AIGC.DE;OD7V GY;0,49%;;;;USD;EUR;14300 shares;1,50%;;;Bloomberg Commodity Index;www.wisdomtree.eu/home
9;ETC;WisdomTree Coffee;DE000A0KRJT2;WisdomTree;OD7B;COFF.DE;OD7B GY;0,49%;;;;USD;EUR;42400 shares;5,00%;;;Bloomberg Coffee Subindex;www.wisdomtree.eu/home
10;ETC;WisdomTree Silver;DE000A0KRJ51;WisdomTree;OD7N;SLVR.DE;OD7N GY;0,49%;;;;USD;EUR;4700 shares;1,50%;;;Bloomberg Silver Subindex;www.wisdomtree.eu/home
11;ETC;WisdomTree Agriculture;DE000A0KRKB8;WisdomTree;OD7U;AIGA.DE;OD7U GY;0,49%;;;;USD;EUR;21500 shares;7,50%;;;Bloomberg Agriculture Subindex;www.wisdomtree.eu/home
12;ETC;WisdomTree Softs;DE000A0KRKL7;WisdomTree;OD74;AIGS.DE;OD74 GY;0,49%;;;;USD;EUR;20800 shares;7,50%;;;Bloomberg Softs Subindex;www.wisdomtree.eu/home
13;ETC;WisdomTree Precious Metals;DE000A0KRKK9;WisdomTree;OD73;AIGP.DE;OD73 GY;0,49%;;;;USD;EUR;7600 shares;1,50%;;;Bloomberg Precious Metals Subindex;www.wisdomtree.eu/home
14;ETC;WisdomTree Petroleum;DE000A0KRKJ1;WisdomTree;OD72;AIGO.DE;OD72 GY;0,49%;;;;USD;EUR;6600 shares;5,00%;;;Bloomberg Petroleum Subindex;www.wisdomtree.eu/home
15;ETC;WisdomTree Industrial Metals;DE000A0KRKG7;WisdomTree;OD7Z;AIGI.DE;OD7Z GY;0,49%;;;;USD;EUR;10200 shares;5,00%;;;Bloomberg Industrial Metals Subindex;www.wisdomtree.eu/home
16;ETC;WisdomTree Grains;DE000A0KRKF9;WisdomTree;OD7Y;AIGR.DE;OD7Y GY;0,49%;;;;USD;EUR;38600 shares;7,50%;;;Bloomberg Grains Subindex;www.wisdomtree.eu/home
17;ETC;WisdomTree Zinc;DE000A0KRKA0;WisdomTree;OD7T;ZINC.DE;OD7T GY;0,49%;;;;USD;EUR;21500 shares;5,00%;;;Bloomberg Zinc Subindex;www.wisdomtree.eu/home
18;ETC;WisdomTree Lean Hogs;DE000A0KRJ10;WisdomTree;OD7J;HOGS.DE;OD7J GY;0,49%;;;;USD;EUR;116700 shares;5,00%;;;Bloomberg Lean Hogs Subindex;www.wisdomtree.eu/home
19;ETC;WisdomTree Copper;DE000A0KRJU0;WisdomTree;OD7C;COPA.DE;OD7C GY;0,49%;;;;USD;EUR;3900 shares;5,00%;;;Bloomberg Copper Subindex;www.wisdomtree.eu/home
20;ETC;WisdomTree Nickel;DE000A0KRJ44;WisdomTree;OD7M;NICK.DE;OD7M GY;0,49%;;;;USD;EUR;7500 shares;5,00%;;;Bloomberg Nickel Subindex;www.wisdomtree.eu/home
21;ETC;WisdomTree Gold;DE000A0KRJZ9;WisdomTree;OD7H;BULL.DE;OD7H GY;0,49%;;;;USD;EUR;8000 shares;1,50%;;;Bloomberg Gold Subindex;www.wisdomtree.eu/home
22;ETC;WisdomTree Gasoline;DE000A0KRJY2;WisdomTree;OD7G;UGAS.DE;OD7G GY;0,49%;;;;USD;EUR;2600 shares;5,00%;;;Bloomberg Unleaded Gasoline Subindex;www.wisdomtree.eu/home
23;ETC;WisdomTree WTI Crude Oil;DE000A0KRJX4;WisdomTree;OD7F;CRUD.DE;OD7F GY;0,49%;;;;USD;EUR;5800 shares;1,50%;;;Bloomberg WTI Crude Oil Subindex;www.wisdomtree.eu/home
24;ETC;WisdomTree Cotton;DE000A0KRJW6;WisdomTree;OD7E;COTN.DE;OD7E GY;0,49%;;;;USD;EUR;47300 shares;7,50%;;;Bloomberg Cotton Subindex;www.wisdomtree.eu/home
25;ETC;WisdomTree Corn;DE000A0KRJV8;WisdomTree;OD7D;CORN.DE;OD7D GY;0,49%;;;;USD;EUR;74000 shares;7,50%;;;Bloomberg Corn Subindex;www.wisdomtree.eu/home
26;ETC;WisdomTree Energy;DE000A0KRKD4;WisdomTree;OD7W;AIGE.DE;OD7W GY;0,49%;;;;USD;EUR;10500 shares;5,00%;;;Bloomberg Energy Subindex;www.wisdomtree.eu/home
27;ETC;WisdomTree Live Cattle;DE000A0KRJ28;WisdomTree;OD7K;CATL.DE;OD7K GY;0,49%;;;;USD;EUR;20000 shares;5,00%;;;Bloomberg Live Cattle Subindex;www.wisdomtree.eu/home
28;ETC;WisdomTree Heating Oil;DE000A0KRJ02;WisdomTree;OD7I;HEAT.DE;OD7I GY;0,49%;;;;USD;EUR;5800 shares;5,00%;;;Bloomberg Heating Oil Subindex;www.wisdomtree.eu/home
29;ETC;WisdomTree Natural Gas;DE000A0KRJ36;WisdomTree;OD7L;NGAS.DE;OD7L GY;0,49%;;;;USD;EUR;138800 shares;15,00%;;;Bloomberg Natural Gas Subindex;www.wisdomtree.eu/home
30;ETC;Gold Bullion Securities;DE000A0LP781;WisdomTree;GG9B;GG9B.DE;GG9B GY;0,40%;;;;USD;EUR;1000 shares;1,00%;;;Spot Price Gold (LBMA);www.wisdomtree.eu/home
31;ETC;WisdomTree Physical Precious Metals Basket Securities;DE000A0N62H8;WisdomTree;VZLE;VZLE.DE;VZLE GY;0,44%;;;;USD;EUR;1300 shares;3,00%;;;Spot Price Precious Metal (LBMA and LPPM);www.wisdomtree.eu/home
32;ETC;WisdomTree Physical Gold Individual Securities;DE000A0N62G0;WisdomTree;VZLD;VZLD.DE;VZLD GY;0,39%;;;;USD;EUR;1000 shares;1,00%;;;Spot Price Gold (LBMA);www.wisdomtree.eu/home
33;ETC;WisdomTree Physical Silver Individual Securities;DE000A0N62F2;WisdomTree;VZLC;VZLC.DE;VZLC GY;0,49%;;;;USD;EUR;5500 shares;1,00%;;;Spot Price Silver (LBMA);www.wisdomtree.eu/home
34;ETC;WisdomTree Physical Platinum Individual Securities;DE000A0N62D7;WisdomTree;VZLA;VZLA.DE;VZLA GY;0,49%;;;;USD;EUR;900 shares;3,00%;;;Spot Price Platinum (LBMA);www.wisdomtree.eu/home
35;ETC;WisdomTree Physical Palladium Individual Securities;DE000A0N62E5;WisdomTree;VZLB;VZLB.DE;VZLB GY;0,49%;;;;USD;EUR;1800 shares;3,00%;;;Spot Price Palladium (LBMA);www.wisdomtree.eu/home
36;ETC;WisdomTree Industrial Metals Longer Dated;DE000A0SVX75;WisdomTree;9GAK;9GAK.DE;9GAK GY;0,49%;;;;USD;EUR;7100 shares;5,00%;;;Bloomberg Industrial Metals Subindex 3 Month Forward;www.wisdomtree.eu/home
37;ETC;WisdomTree Energy Longer Dated;DE000A0SVX42;WisdomTree;9GAG;9GAG.DE;9GAG GY;0,49%;;;;USD;EUR;3700 shares;5,00%;;;Bloomberg Energy Subindex 3 Month Forward;www.wisdomtree.eu/home
38;ETC;WisdomTree Agriculture Longer Dated;DE000A0SVX83;WisdomTree;9GAL;9GAL.DE;9GAL GY;0,49%;;;;USD;EUR;12300 shares;7,50%;;;Bloomberg Agriculture Subindex 3 Month Forward;www.wisdomtree.eu/home
39;ETC;WisdomTree Broad Commodities Longer Dated;DE000A0SVX34;WisdomTree;9GAF;9GAF.DE;9GAF GY;0,49%;;;;USD;EUR;7800 shares;5,00%;;;Bloomberg Commodity Index 3 Month Forward;www.wisdomtree.eu/home
40;ETC;Xetra-Gold;DE000A0S9GB0;Xetra Gold;4GLD;4GLD.DE;4GLD GY;0,36%;;;;USD;EUR;6000 shares;1,00%;;;Spot Price Gold (LBMA);www.xetra-gold.com
41;ETC;WisdomTree WTI Crude Oil 1x Daily Short;DE000A0V9XY2;WisdomTree;9GA7;9GA7.DE;9GA7 GY;0,98%;;;;USD;EUR;3000 shares;1,50%;;;Bloomberg WTI Crude Oil Subindex;www.wisdomtree.eu/home
42;ETC;WisdomTree Silver 1x Daily Short;DE000A0V9X66;WisdomTree;4RTF;4RTF.DE;4RTF GY;0,98%;;;;USD;EUR;2700 shares;1,50%;;;Bloomberg Silver Subindex;www.wisdomtree.eu/home
43;ETC;WisdomTree Nickel 1x Daily Short;DE000A0V9X58;WisdomTree;4RTE;4RTE.DE;4RTE GY;0,98%;;;;USD;EUR;1800 shares;5,00%;;;Bloomberg Nickel Subindex;www.wisdomtree.eu/home
44;ETC;WisdomTree Natural Gas 1x Daily Short;DE000A0V9X41;WisdomTree;4RTD;4RTD.DE;4RTD GY;0,98%;;;;USD;EUR;400 shares;5,00%;;;Bloomberg Natural Gas Subindex;www.wisdomtree.eu/home
45;ETC;WisdomTree Gold 1x Daily Short;DE000A0V9X09;WisdomTree;9GA9;9GA9.DE;9GA9 GY;0,98%;;;;USD;EUR;3500 shares;1,50%;;;Bloomberg Gold Subindex;www.wisdomtree.eu/home
46;ETC;WisdomTree Coffee 2x Daily Leveraged;DE000A0V9YT0;WisdomTree;4RT2;4RT2.DE;4RT2 GY;0,98%;;;;USD;EUR;3000 shares;5,00%;;;Bloomberg Coffee Subindex;www.wisdomtree.eu/home
47;ETC;WisdomTree Natural Gas 2x Daily Leveraged;DE000A2BDED2;WisdomTree;4RUC;4RUC.DE;4RUC GY;0,98%;;;;USD;EUR;1100 shares;3,00%;;;Bloomberg Natural Gas Subindex;www.wisdomtree.eu/home
48;ETC;WisdomTree Cocoa 2x Daily Leveraged;DE000A0V9ZE9;WisdomTree;4RUP;4RUP.DE;4RUP GY;0,98%;;;;USD;EUR;6100 shares;5,00%;;;Bloomberg Cocoa Subindex;www.wisdomtree.eu/home
49;ETC;WisdomTree Platinum 2x Daily Leveraged;DE000A0V9ZC3;WisdomTree;4RUM;4RUM.DE;4RUM GY;0,98%;;;;USD;EUR;6000 shares;5,00%;;;Bloomberg Platinum Subindex;www.wisdomtree.eu/home
50;ETC;WisdomTree Gold 2x Daily Leveraged;DE000A0V9YZ7;WisdomTree;4RT8;4RT8.DE;4RT8 GY;0,98%;;;;USD;EUR;1900 shares;3,00%;;;Bloomberg Gold Subindex;www.wisdomtree.eu/home
51;ETC;WisdomTree Corn 2x Daily Leveraged;DE000A0V9YV6;WisdomTree;4RT4;4RT4.DE;4RT4 GY;0,98%;;;;USD;EUR;7700 shares;10,00%;;;Bloomberg Corn Subindex;www.wisdomtree.eu/home
52;ETC;WisdomTree Copper 2x Daily Leveraged;DE000A0V9YU8;WisdomTree;4RT3;4RT3.DE;4RT3 GY;0,98%;;;;USD;EUR;6500 shares;5,00%;;;Bloomberg Copper Subindex;www.wisdomtree.eu/home
53;ETC;WisdomTree WTI Crude Oil 2x Daily Leveraged;DE000A2BDEB6;WisdomTree;4RT6;4RT6.DE;4RT6 GY;0,98%;;;;USD;EUR;1200 shares;3,00%;;;Bloomberg WTI Crude Oil Subindex;www.wisdomtree.eu/home
54;ETC;WisdomTree Nickel 2x Daily Leveraged;DE000A2BDEC4;WisdomTree;4RUD;4RUD.DE;4RUD GY;0,98%;;;;USD;EUR;1300 shares;3,00%;;;Bloomberg Nickel Subindex;www.wisdomtree.eu/home
55;ETC;WisdomTree Silver 2x Daily Leveraged;DE000A0V9Y57;WisdomTree;4RUE;4RUE.DE;4RUE GY;0,98%;;;;USD;EUR;2200 shares;3,00%;;;Bloomberg Silver Subindex;www.wisdomtree.eu/home
56;ETC;WisdomTree Agriculture 2x Daily Leveraged;DE000A0V9YG7;WisdomTree;4RTR;4RTR.DE;4RTR GY;0,98%;;;;USD;EUR;5100 shares;5,00%;;;Bloomberg Agriculture Subindex;www.wisdomtree.eu/home
57;ETC;WisdomTree Sugar 2x Daily Leveraged;DE000A0V9Y81;WisdomTree;4RUH;4RUH.DE;4RUH GY;0,98%;;;;USD;EUR;3000 shares;5,00%;;;Bloomberg Sugar Subindex;www.wisdomtree.eu/home
58;ETC;WisdomTree Wheat 2x Daily Leveraged;DE000A2BDEA8;WisdomTree;4RUJ;4RUJ.DE;4RUJ GY;0,98%;;;;USD;EUR;1300 shares;5,00%;;;Bloomberg Wheat Subindex;www.wisdomtree.eu/home
59;ETC;WisdomTree Physical Swiss Gold Individual Securities;DE000A1DCTL3;WisdomTree;GZUR;GZUR.DE;GZUR GY;0,19%;;;;USD;EUR;100000 EUR;1,50%;;;Spot Price Gold (LBMA);www.wisdomtree.eu/home
60;ETC;Xtrackers Brent Crude Oil Optimum Yield EUR Hedged ETC;DE000A1AQGX1;Xtrackers ETC;XETC;XETC.DE;XETC GY;0,45%;;;;EUR;EUR;1000 shares;1,50%;;;DBLCI OY Brent Crude Oil Euro Index;www.etc.dws.com
61;ETC;Xtrackers Energy Optimum Yield EUR Hedged ETC;DE000A1ED2J2;Xtrackers ETC;XCTH;XCTH.DE;XCTH GY;0,45%;;;;EUR;EUR;1000 shares;3,00%;;;db Energy Booster Index;www.etc.dws.com
62;ETC;Xtrackers Physical Gold EUR Hedged ETC;DE000A1EK0G3;Xtrackers ETC;XAD1;XAD1.DE;XAD1 GY;0,29%;;;;EUR;EUR;550 shares;1,00%;;;Spot Price Gold (LBMA);www.etc.dws.com
